Epoch: 0 | Validity: 6.30000 % | Diversity: 3.70000 % | Reconstruction: 67.67847 %
Epoch: 1 | Validity: 1.80000 % | Diversity: 1.00000 % | Reconstruction: 68.13906 %
Epoch: 2 | Validity: 2.40000 % | Diversity: 0.50000 % | Reconstruction: 68.47546 %
Epoch: 3 | Validity: 3.50000 % | Diversity: 0.40000 % | Reconstruction: 68.96439 %
Epoch: 4 | Validity: 6.50000 % | Diversity: 1.00000 % | Reconstruction: 69.65228 %
Epoch: 5 | Validity: 6.60000 % | Diversity: 1.20000 % | Reconstruction: 70.00611 %
Epoch: 6 | Validity: 10.40000 % | Diversity: 2.20000 % | Reconstruction: 70.06495 %
Epoch: 7 | Validity: 12.00000 % | Diversity: 2.50000 % | Reconstruction: 70.25594 %
Epoch: 8 | Validity: 11.80000 % | Diversity: 2.70000 % | Reconstruction: 70.56467 %
Epoch: 10 | Validity: 20.40000 % | Diversity: 4.20000 % | Reconstruction: 70.62255 %
Epoch: 11 | Validity: 22.50000 % | Diversity: 4.50000 % | Reconstruction: 70.77257 %
Epoch: 12 | Validity: 23.50000 % | Diversity: 4.50000 % | Reconstruction: 71.04381 %
Epoch: 13 | Validity: 22.30000 % | Diversity: 5.60000 % | Reconstruction: 71.04982 %
Epoch: 14 | Validity: 21.10000 % | Diversity: 4.20000 % | Reconstruction: 71.42111 %
Epoch: 15 | Validity: 20.00000 % | Diversity: 5.10000 % | Reconstruction: 71.61086 %
Epoch: 16 | Validity: 19.30000 % | Diversity: 6.20000 % | Reconstruction: 72.22382 %
Epoch: 17 | Validity: 17.60000 % | Diversity: 6.90000 % | Reconstruction: 72.32757 %
Epoch: 18 | Validity: 19.20000 % | Diversity: 7.80000 % | Reconstruction: 72.79046 %
Epoch: 19 | Validity: 19.90000 % | Diversity: 8.90000 % | Reconstruction: 72.82989 %
Epoch: 20 | Validity: 20.20000 % | Diversity: 8.10000 % | Reconstruction: 73.19207 %
Epoch: 21 | Validity: 19.40000 % | Diversity: 8.80000 % | Reconstruction: 73.28890 %
Epoch: 22 | Validity: 20.10000 % | Diversity: 8.20000 % | Reconstruction: 73.78712 %
Epoch: 23 | Validity: 17.90000 % | Diversity: 7.90000 % | Reconstruction: 73.85668 %
